CITY,COUNTY,Atlas_Total_Disaster_Declarations,POPULATION,Infra_Airports_Total,Infra_Airports_In_Floodplain_2025,Infra_Airports_Pct_2025,Infra_Airports_In_Floodplain_2050,Infra_Airports_Pct_2050,Infra_Hospitals_Total,Infra_Hospitals_In_Floodplain_2025,Infra_Hospitals_Pct_2025,Infra_Hospitals_In_Floodplain_2050,Infra_Hospitals_Pct_2050,Infra_Contaminated_Sites_Total,Infra_Contaminated_Sites_In_Floodplain_2025,Infra_Contaminated_Sites_Pct_2025,Infra_Contaminated_Sites_In_Floodplain_2050,Infra_Contaminated_Sites_Pct_2050,Infra_Libraries_Total,Infra_Libraries_In_Floodplain_2025,Infra_Libraries_Pct_2025,Infra_Libraries_In_Floodplain_2050,Infra_Libraries_Pct_2050,Infra_Parks_Total,Infra_Parks_In_Floodplain_2025,Infra_Parks_Pct_2025,Infra_Parks_In_Floodplain_2050,Infra_Parks_Pct_2050,Infra_Power_Plants_Total,Infra_Power_Plants_In_Floodplain_2025,Infra_Power_Plants_Pct_2025,Infra_Power_Plants_In_Floodplain_2050,Infra_Power_Plants_Pct_2050,Infra_Schools_Total,Infra_Schools_In_Floodplain_2025,Infra_Schools_Pct_2025,Infra_Schools_In_Floodplain_2050,Infra_Schools_Pct_2050,Infra_Hazardous_Waste_Total,Infra_Hazardous_Waste_In_Floodplain_2025,Infra_Hazardous_Waste_Pct_2025,Infra_Hazardous_Waste_In_Floodplain_2050,Infra_Hazardous_Waste_Pct_2050,Infra_Landfills_Total,Infra_Landfills_In_Floodplain_2025,Infra_Landfills_Pct_2025,Infra_Landfills_In_Floodplain_2050,Infra_Landfills_Pct_2050,Infra_Superfund_Sites_Total,Infra_Superfund_Sites_In_Floodplain_2025,Infra_Superfund_Sites_Pct_2025,Infra_Superfund_Sites_In_Floodplain_2050,Infra_Superfund_Sites_Pct_2050,Infra_Wastewater_Treatment_Total,Infra_Wastewater_Treatment_In_Floodplain_2025,Infra_Wastewater_Treatment_Pct_2025,Infra_Wastewater_Treatment_In_Floodplain_2050,Infra_Wastewater_Treatment_Pct_2050,Infra_Police_Stations_Total,Infra_Police_Stations_In_Floodplain_2025,Infra_Police_Stations_Pct_2025,Infra_Police_Stations_In_Floodplain_2050,Infra_Police_Stations_Pct_2050,Infra_Fire_Departments_Total,Infra_Fire_Departments_In_Floodplain_2025,Infra_Fire_Departments_Pct_2025,Infra_Fire_Departments_In_Floodplain_2050,Infra_Fire_Departments_Pct_2050,County_FEMA_Total,County_FEMA_Per_Capita,County_SVI_2022,blueacres,OUTREACH_TIER,PRIORITY_RANK,Fact1,Fact2,Fact3
Northvale Borough,Bergen,8,"4,979",0,,0.00%,,0.00%,0,,0.00%,,0.00%,9,4,44.44%,5,55.56%,1,,0.00%,,0.00%,2,2,100.00%,2,100.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,1,100.00%,386547358,406,0.44,,B_UNDER_RADAR,168,"<strong>6 assets (40%)</strong> sit in flood zones today. That rises to 8 (53.3%), <strong>pushing over half (53.3%) of the city's public assets into flood risk by 2050</strong>.",,
Norwood Borough,Bergen,8,"5,854",0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,1,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,,0.00%,,0.00%,386547358,406,0.44,,C_LOWER_URGENCY,444,"<strong>2 assets (25%)</strong> already sit in flood zones, a level that holds through 2050.",,
Nutley Township,Essex,8,"30,508",0,,0.00%,,0.00%,0,,0.00%,,0.00%,23,4,17.39%,7,30.43%,1,,0.00%,1,100.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,9,,0.00%,1,11.11%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,3,1,33.33%,1,33.33%,89468673,105,0.94,,B_UNDER_RADAR,117,"<strong>7 assets (18.4%)</strong> sit in flood zones today. That rises to 12 (31.6%), <strong>adding 5 facilities by 2050</strong>.",,
Oakland Borough,Bergen,8,"12,926",0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,1,50.00%,1,50.00%,1,,0.00%,,0.00%,6,4,66.67%,4,66.67%,0,,0.00%,,0.00%,13,,0.00%,2,15.38%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,4,,0.00%,,0.00%,1,,0.00%,,0.00%,3,,0.00%,,0.00%,386547358,406,0.44,,C_LOWER_URGENCY,358,"<strong>5 assets (16.1%)</strong> sit in flood zones today. That rises to 7 (22.6%), <strong>adding 2 facilities by 2050</strong>.",,
Oaklyn Borough,Camden,5,"3,979",0,,0.00%,,0.00%,0,,0.00%,,0.00%,7,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,10643598,20,0.78,,C_LOWER_URGENCY,489,"<strong>1 assets (7.7%)</strong> already sit in flood zones, a level that holds through 2050.",,
Ocean City,Cape May,8,"11,219",1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,12,12,100.00%,12,100.00%,1,1,100.00%,1,100.00%,18,18,100.00%,18,100.00%,0,,0.00%,,0.00%,4,4,100.00%,4,100.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,3,3,100.00%,3,100.00%,54653243,573,0.35,,B_UNDER_RADAR,23,"<strong>42 assets (100%)</strong> already sit in flood zones, a level that holds through 2050.",Ocean City's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,Ocean City's <strong>only airport</strong> is already in a flood zone today and remains at risk through 2050.
Ocean Gate Borough,Ocean,6,"1,987",0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,3,100.00%,3,100.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,,0.00%,1,100.00%,278969403,437,0.41,,B_UNDER_RADAR,192,"<strong>4 assets (66.7%)</strong> sit in flood zones today. That rises to 6 (100%), <strong>100% of the city's public assets exposed by 2050</strong>, among the highest exposure in the state.",,
Ocean Township,Monmouth,6,"27,992",0,,0.00%,,0.00%,0,,0.00%,,0.00%,25,1,4.00%,6,24.00%,1,,0.00%,,0.00%,5,4,80.00%,4,80.00%,0,,0.00%,,0.00%,10,,0.00%,1,10.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,1,,0.00%,,0.00%,3,,0.00%,,0.00%,327555966,509,0.21,,B_UNDER_RADAR,48,"<strong>5 assets (10.4%)</strong> sit in flood zones today. That rises to 12 (25%), <strong>more than doubling exposure and adding 7 facilities by 2050</strong>.",Ocean Township's <strong>only wastewater treatment center</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.,
Ocean Township,Ocean,6,"9,242",0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,8,8,100.00%,8,100.00%,0,,0.00%,,0.00%,3,,0.00%,1,33.33%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,278969403,437,0.41,,B_UNDER_RADAR,48,"<strong>9 assets (60%)</strong> sit in flood zones today. That rises to 10 (66.7%), <strong>66.7% of the city's public assets exposed by 2050</strong>, among the highest exposure in the state.",,
Oceanport Borough,Monmouth,6,"6,383",0,,0.00%,,0.00%,0,,0.00%,,0.00%,6,1,16.67%,3,50.00%,1,,0.00%,,0.00%,6,5,83.33%,5,83.33%,0,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,2,2,100.00%,2,100.00%,327555966,509,0.21,,B_UNDER_RADAR,98,"<strong>9 assets (45%)</strong> sit in flood zones today. That rises to 13 (65%), <strong>pushing over half (65%) of the city's public assets into flood risk by 2050</strong>.",,
