CITY,COUNTY,Atlas_Total_Disaster_Declarations,POPULATION,Infra_Airports_Total,Infra_Airports_In_Floodplain_2025,Infra_Airports_Pct_2025,Infra_Airports_In_Floodplain_2050,Infra_Airports_Pct_2050,Infra_Hospitals_Total,Infra_Hospitals_In_Floodplain_2025,Infra_Hospitals_Pct_2025,Infra_Hospitals_In_Floodplain_2050,Infra_Hospitals_Pct_2050,Infra_Contaminated_Sites_Total,Infra_Contaminated_Sites_In_Floodplain_2025,Infra_Contaminated_Sites_Pct_2025,Infra_Contaminated_Sites_In_Floodplain_2050,Infra_Contaminated_Sites_Pct_2050,Infra_Libraries_Total,Infra_Libraries_In_Floodplain_2025,Infra_Libraries_Pct_2025,Infra_Libraries_In_Floodplain_2050,Infra_Libraries_Pct_2050,Infra_Parks_Total,Infra_Parks_In_Floodplain_2025,Infra_Parks_Pct_2025,Infra_Parks_In_Floodplain_2050,Infra_Parks_Pct_2050,Infra_Power_Plants_Total,Infra_Power_Plants_In_Floodplain_2025,Infra_Power_Plants_Pct_2025,Infra_Power_Plants_In_Floodplain_2050,Infra_Power_Plants_Pct_2050,Infra_Schools_Total,Infra_Schools_In_Floodplain_2025,Infra_Schools_Pct_2025,Infra_Schools_In_Floodplain_2050,Infra_Schools_Pct_2050,Infra_Hazardous_Waste_Total,Infra_Hazardous_Waste_In_Floodplain_2025,Infra_Hazardous_Waste_Pct_2025,Infra_Hazardous_Waste_In_Floodplain_2050,Infra_Hazardous_Waste_Pct_2050,Infra_Landfills_Total,Infra_Landfills_In_Floodplain_2025,Infra_Landfills_Pct_2025,Infra_Landfills_In_Floodplain_2050,Infra_Landfills_Pct_2050,Infra_Superfund_Sites_Total,Infra_Superfund_Sites_In_Floodplain_2025,Infra_Superfund_Sites_Pct_2025,Infra_Superfund_Sites_In_Floodplain_2050,Infra_Superfund_Sites_Pct_2050,Infra_Wastewater_Treatment_Total,Infra_Wastewater_Treatment_In_Floodplain_2025,Infra_Wastewater_Treatment_Pct_2025,Infra_Wastewater_Treatment_In_Floodplain_2050,Infra_Wastewater_Treatment_Pct_2050,Infra_Police_Stations_Total,Infra_Police_Stations_In_Floodplain_2025,Infra_Police_Stations_Pct_2025,Infra_Police_Stations_In_Floodplain_2050,Infra_Police_Stations_Pct_2050,Infra_Fire_Departments_Total,Infra_Fire_Departments_In_Floodplain_2025,Infra_Fire_Departments_Pct_2025,Infra_Fire_Departments_In_Floodplain_2050,Infra_Fire_Departments_Pct_2050,County_FEMA_Total,County_FEMA_Per_Capita,County_SVI_2022,blueacres,OUTREACH_TIER,PRIORITY_RANK,Fact1,Fact2,Fact3
Corbin City,Atlantic,8,486,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,50974342,186,0.85,,C_LOWER_URGENCY,516,,,
Cranbury Township,Middlesex,6,"4,170",0,,0.00%,,0.00%,0,,0.00%,,0.00%,8,1,12.50%,1,12.50%,1,,0.00%,1,100.00%,5,4,80.00%,4,80.00%,4,,0.00%,,0.00%,3,,0.00%,1,33.33%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,1,1,100.00%,1,100.00%,332881646,387,0.66,,B_UNDER_RADAR,179,"<strong>6 assets (24%)</strong> sit in flood zones today. That rises to 8 (32%), <strong>adding 2 facilities by 2050</strong>.",,
Cranford Township,Union,6,"24,513",0,,0.00%,,0.00%,0,,0.00%,,0.00%,17,3,17.65%,5,29.41%,1,,0.00%,,0.00%,2,2,100.00%,2,100.00%,0,,0.00%,,0.00%,10,1,10.00%,2,20.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,,0.00%,1,100.00%,91288452,160,0.81,,B_UNDER_RADAR,130,"<strong>7 assets (21.9%)</strong> sit in flood zones today. That rises to 11 (34.4%), <strong>adding 4 facilities by 2050</strong>.",,
Cresskill Borough,Bergen,8,"9,311",0,,0.00%,,0.00%,0,,0.00%,,0.00%,4,,0.00%,2,50.00%,1,,0.00%,1,100.00%,5,,0.00%,1,20.00%,0,,0.00%,,0.00%,5,1,20.00%,1,20.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,1,100.00%,1,100.00%,386547358,406,0.44,,B_UNDER_RADAR,200,"<strong>2 assets (11.8%)</strong> sit in flood zones today. That rises to 6 (35.3%), <strong>more than doubling exposure and adding 4 facilities by 2050</strong>.",,
Deal Borough,Monmouth,6,891,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,1,,0.00%,1,100.00%,327555966,509,0.21,,B_UNDER_RADAR,246,"No public assets sit in flood zones today, but <strong>3 (75%) become exposed by 2050</strong>.",,
Deerfield Township,Cumberland,8,"3,216",1,,0.00%,,0.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,38255115,249,0.98,,C_LOWER_URGENCY,517,,,
Delanco Township,Burlington,8,"4,953",0,,0.00%,,0.00%,0,,0.00%,,0.00%,7,1,14.29%,1,14.29%,1,,0.00%,,0.00%,3,3,100.00%,3,100.00%,2,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,21195327,46,0.24,,C_LOWER_URGENCY,378,"<strong>4 assets (22.2%)</strong> sit in flood zones today. That rises to 5 (27.8%), <strong>adding 1 facilities by 2050</strong>.",,
Delaware Township,Hunterdon,6,"4,592",1,,0.00%,,0.00%,0,,0.00%,,0.00%,3,1,33.33%,1,33.33%,0,,0.00%,,0.00%,2,2,100.00%,2,100.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,27296680,211,0.04,,B_UNDER_RADAR,262,"<strong>3 assets (30%)</strong> already sit in flood zones, a level that holds through 2050.",,
Delran Township,Burlington,8,"18,717",0,,0.00%,,0.00%,0,,0.00%,,0.00%,10,1,10.00%,2,20.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,6,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,21195327,46,0.24,,C_LOWER_URGENCY,412,"<strong>3 assets (14.3%)</strong> sit in flood zones today. That rises to 4 (19%), <strong>adding 1 facilities by 2050</strong>.",Delran Township's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,
Demarest Borough,Bergen,8,"4,941",0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,2,2,100.00%,2,100.00%,0,,0.00%,,0.00%,6,1,16.67%,1,16.67%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,386547358,406,0.44,,C_LOWER_URGENCY,423,"<strong>3 assets (27.3%)</strong> already sit in flood zones, a level that holds through 2050.",,
Dennis Township,Cape May,8,"6,098",0,,0.00%,,0.00%,0,,0.00%,,0.00%,8,,0.00%,3,37.50%,0,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,4,,0.00%,,0.00%,54653243,573,0.35,,C_LOWER_URGENCY,408,"No public assets sit in flood zones today, but <strong>4 (21.1%) become exposed by 2050</strong>.",,
Denville Township,Morris,9,"17,376",0,,0.00%,,0.00%,1,,0.00%,,0.00%,15,3,20.00%,5,33.33%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,10,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,3,1,33.33%,2,66.67%,83623155,164,0.17,,B_UNDER_RADAR,139,"<strong>6 assets (18.8%)</strong> sit in flood zones today. That rises to 10 (31.2%), <strong>adding 4 facilities by 2050</strong>.",,
Deptford Township,Gloucester,7,"32,570",0,,0.00%,,0.00%,0,,0.00%,,0.00%,17,,0.00%,,0.00%,1,,0.00%,,0.00%,3,1,33.33%,1,33.33%,3,,0.00%,,0.00%,15,,0.00%,1,6.67%,0,,0.00%,,0.00%,5,,0.00%,1,20.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,8,,0.00%,,0.00%,15892563,53,0.22,,C_LOWER_URGENCY,439,"<strong>1 assets (1.9%)</strong> sit in flood zones today. That rises to 3 (5.7%), <strong>more than doubling exposure and adding 2 facilities by 2050</strong>.",,
Dover Town,Morris,9,"18,909",0,,0.00%,,0.00%,4,,0.00%,1,25.00%,20,11,55.00%,17,85.00%,1,1,100.00%,1,100.00%,6,2,33.33%,2,33.33%,0,,0.00%,,0.00%,5,,0.00%,1,20.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,83623155,164,0.17,,B_UNDER_RADAR,39,"<strong>17 assets (42.5%)</strong> sit in flood zones today. That rises to 25 (62.5%), <strong>pushing over half (62.5%) of the city's public assets into flood risk by 2050</strong>.",Dover Town's <strong>only Superfund site</strong> is already in a flood zone today and remains at risk through 2050.,
Downe Township,Cumberland,8,"1,401",0,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,2,1,50.00%,1,50.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,2,66.67%,3,100.00%,38255115,249,0.98,,B_UNDER_RADAR,234,"<strong>3 assets (33.3%)</strong> sit in flood zones today. That rises to 4 (44.4%), <strong>adding 1 facilities by 2050</strong>.",,
Dumont Borough,Bergen,8,"18,606",0,,0.00%,,0.00%,0,,0.00%,,0.00%,5,1,20.00%,2,40.00%,1,,0.00%,1,100.00%,5,,0.00%,,0.00%,0,,0.00%,,0.00%,5,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,4,,0.00%,,0.00%,386547358,406,0.44,,C_LOWER_URGENCY,431,"<strong>1 assets (4.8%)</strong> sit in flood zones today. That rises to 3 (14.3%), <strong>more than doubling exposure and adding 2 facilities by 2050</strong>.",,
Dunellen Borough,Middlesex,6,"8,411",0,,0.00%,,0.00%,0,,0.00%,,0.00%,7,2,28.57%,7,100.00%,1,1,100.00%,1,100.00%,16,15,93.75%,16,100.00%,0,,0.00%,,0.00%,4,1,25.00%,1,25.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,1,1,100.00%,1,100.00%,332881646,387,0.66,,B_UNDER_RADAR,35,"<strong>20 assets (66.7%)</strong> sit in flood zones today. That rises to 27 (90%), <strong>90% of the city's public assets exposed by 2050</strong>, among the highest exposure in the state.",,
Eagleswood Township,Ocean,6,"1,803",1,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,1,100.00%,278969403,437,0.41,,B_UNDER_RADAR,270,"<strong>1 assets (16.7%)</strong> sit in flood zones today. That rises to 2 (33.3%), <strong>more than doubling exposure and adding 1 facilities by 2050</strong>.",,
East Amwell Township,Hunterdon,6,"3,948",0,,0.00%,,0.00%,0,,0.00%,,0.00%,5,,0.00%,1,20.00%,1,,0.00%,1,100.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,27296680,211,0.04,,C_LOWER_URGENCY,446,"No public assets sit in flood zones today, but <strong>2 (20%) become exposed by 2050</strong>.",,
East Brunswick Township,Middlesex,6,"51,086",0,,0.00%,,0.00%,0,,0.00%,,0.00%,28,1,3.57%,2,7.14%,1,,0.00%,,0.00%,3,1,33.33%,1,33.33%,2,,0.00%,1,50.00%,20,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,1,,0.00%,1,100.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,8,,0.00%,,0.00%,332881646,387,0.66,,C_LOWER_URGENCY,398,"<strong>2 assets (3%)</strong> sit in flood zones today. That rises to 5 (7.5%), <strong>more than doubling exposure and adding 3 facilities by 2050</strong>.",East Brunswick Township's <strong>only Superfund site</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.,
East Greenwich Township,Gloucester,7,"12,565",1,,0.00%,,0.00%,0,,0.00%,,0.00%,11,,0.00%,1,9.09%,0,,0.00%,,0.00%,4,3,75.00%,3,75.00%,1,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,15892563,53,0.22,,C_LOWER_URGENCY,416,"<strong>3 assets (13.6%)</strong> sit in flood zones today. That rises to 4 (18.2%), <strong>adding 1 facilities by 2050</strong>.",,
East Hanover Township,Morris,9,"11,232",0,,0.00%,,0.00%,0,,0.00%,,0.00%,22,7,31.82%,8,36.36%,1,,0.00%,,0.00%,2,2,100.00%,2,100.00%,0,,0.00%,,0.00%,4,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,83623155,164,0.17,,B_UNDER_RADAR,140,"<strong>9 assets (28.1%)</strong> sit in flood zones today. That rises to 10 (31.2%), <strong>adding 1 facilities by 2050</strong>.",,
East Newark Borough,Hudson,5,"2,539",0,,0.00%,,0.00%,0,,0.00%,,0.00%,5,4,80.00%,4,80.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,121553990,171,0.78,,B_UNDER_RADAR,230,"<strong>4 assets (50%)</strong> already sit in flood zones, a level that holds through 2050.",,
East Orange City,Essex,8,"71,850",0,,0.00%,,0.00%,4,,0.00%,,0.00%,56,4,7.14%,11,19.64%,1,,0.00%,,0.00%,7,1,14.29%,2,28.57%,0,,0.00%,,0.00%,30,,0.00%,5,16.67%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,4,,0.00%,,0.00%,89468673,105,0.94,,C_LOWER_URGENCY,304,"<strong>5 assets (4.9%)</strong> sit in flood zones today. That rises to 18 (17.5%), <strong>more than doubling exposure and adding 13 facilities by 2050</strong>.",,
East Rutherford Borough,Bergen,8,"10,624",0,,0.00%,,0.00%,0,,0.00%,,0.00%,37,19,51.35%,23,62.16%,1,,0.00%,,0.00%,8,6,75.00%,6,75.00%,1,1,100.00%,1,100.00%,4,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,3,100.00%,3,100.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,4,,0.00%,1,25.00%,386547358,406,0.44,,B_UNDER_RADAR,29,"<strong>29 assets (49.2%)</strong> sit in flood zones today. That rises to 34 (57.6%), <strong>pushing over half (57.6%) of the city's public assets into flood risk by 2050</strong>.",East Rutherford Borough's <strong>only power plant</strong> is already in a flood zone today and remains at risk through 2050.,
East Windsor Township,Mercer,6,"30,436",0,,0.00%,,0.00%,0,,0.00%,,0.00%,10,,0.00%,,0.00%,2,,0.00%,,0.00%,7,7,100.00%,7,100.00%,1,,0.00%,,0.00%,4,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,1,50.00%,32332311,84,0.74,,C_LOWER_URGENCY,351,"<strong>7 assets (24.1%)</strong> sit in flood zones today. That rises to 8 (27.6%), <strong>adding 1 facilities by 2050</strong>.",,
Eastampton Township,Burlington,8,"6,524",0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,2,2,100.00%,2,100.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,1,100.00%,21195327,46,0.24,,B_UNDER_RADAR,255,"<strong>2 assets (25%)</strong> sit in flood zones today. That rises to 3 (37.5%), <strong>adding 1 facilities by 2050</strong>.",,
Eatontown Borough,Monmouth,6,"13,582",0,,0.00%,,0.00%,0,,0.00%,,0.00%,18,1,5.56%,4,22.22%,1,,0.00%,,0.00%,4,1,25.00%,2,50.00%,0,,0.00%,,0.00%,8,,0.00%,1,12.50%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,327555966,509,0.21,,C_LOWER_URGENCY,354,"<strong>3 assets (8.8%)</strong> sit in flood zones today. That rises to 8 (23.5%), <strong>more than doubling exposure and adding 5 facilities by 2050</strong>.",Eatontown Borough's <strong>only landfill</strong> is already in a flood zone today and remains at risk through 2050.,
Edgewater Borough,Bergen,8,"15,116",0,,0.00%,,0.00%,0,,0.00%,,0.00%,20,14,70.00%,16,80.00%,1,,0.00%,,0.00%,3,2,66.67%,2,66.67%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,1,1,100.00%,1,100.00%,3,,0.00%,2,66.67%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,1,,0.00%,,0.00%,386547358,406,0.44,,B_UNDER_RADAR,41,"<strong>20 assets (57.1%)</strong> sit in flood zones today. That rises to 24 (68.6%), <strong>68.6% of the city's public assets exposed by 2050</strong>, among the highest exposure in the state.",Edgewater Borough's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,Edgewater Borough's <strong>only Superfund site</strong> is already in a flood zone today and remains at risk through 2050.
Edgewater Park Township,Burlington,8,"9,196",0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,21195327,46,0.24,,C_LOWER_URGENCY,518,,,
Edison Township,Middlesex,6,"110,002",0,,0.00%,,0.00%,2,,0.00%,,0.00%,86,7,8.14%,11,12.79%,3,,0.00%,,0.00%,2,1,50.00%,1,50.00%,8,1,12.50%,1,12.50%,47,,0.00%,,0.00%,1,,0.00%,,0.00%,5,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,6,,0.00%,,0.00%,332881646,387,0.66,,C_LOWER_URGENCY,324,"<strong>9 assets (5.5%)</strong> sit in flood zones today. That rises to 13 (7.9%), <strong>adding 4 facilities by 2050</strong>.",,
Egg Harbor City,Atlantic,8,"4,442",0,,0.00%,,0.00%,0,,0.00%,,0.00%,10,1,10.00%,2,20.00%,1,,0.00%,,0.00%,4,3,75.00%,4,100.00%,1,,0.00%,,0.00%,3,,0.00%,1,33.33%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,1,,0.00%,,0.00%,50974342,186,0.85,,B_UNDER_RADAR,178,"<strong>4 assets (17.4%)</strong> sit in flood zones today. That rises to 8 (34.8%), <strong>more than doubling exposure and adding 4 facilities by 2050</strong>.",,
Egg Harbor Township,Atlantic,8,"48,538",2,1,50.00%,1,50.00%,1,,0.00%,,0.00%,25,3,12.00%,5,20.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,3,,0.00%,,0.00%,14,,0.00%,,0.00%,7,,0.00%,,0.00%,9,,0.00%,1,11.11%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,10,2,20.00%,2,20.00%,50974342,186,0.85,,C_LOWER_URGENCY,350,"<strong>6 assets (7.8%)</strong> sit in flood zones today. That rises to 9 (11.7%), <strong>adding 3 facilities by 2050</strong>.",,
Elizabeth City,Union,6,"140,413",1,,0.00%,1,100.00%,3,,0.00%,1,33.33%,116,28,24.14%,56,48.28%,4,,0.00%,2,50.00%,46,5,10.87%,17,36.96%,9,4,44.44%,5,55.56%,46,1,2.17%,7,15.22%,9,4,44.44%,5,55.56%,7,4,57.14%,7,100.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,3,,0.00%,1,33.33%,7,1,14.29%,4,57.14%,91288452,160,0.81,,A_METRO_CRISIS,4,"<strong>49 assets (19.4%)</strong> sit in flood zones today. That rises to 108 (42.7%), <strong>more than doubling exposure and adding 59 facilities by 2050</strong>.",Elizabeth City's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,Elizabeth City's <strong>only airport</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.
Elk Township,Gloucester,7,"4,506",1,,0.00%,1,100.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,3,,0.00%,,0.00%,15892563,53,0.22,,C_LOWER_URGENCY,482,"No public assets sit in flood zones today, but <strong>1 (11.1%) become exposed by 2050</strong>.",Elk Township's <strong>only airport</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.,
Elmer Borough,Salem,6,"1,377",0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,3,2,66.67%,3,100.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,5624464,87,0.67,,B_UNDER_RADAR,256,"<strong>2 assets (22.2%)</strong> sit in flood zones today. That rises to 3 (33.3%), <strong>adding 1 facilities by 2050</strong>.",,
Elmwood Park Borough,Bergen,8,"21,680",0,,0.00%,,0.00%,0,,0.00%,,0.00%,34,4,11.76%,13,38.24%,1,,0.00%,,0.00%,10,,0.00%,1,10.00%,0,,0.00%,,0.00%,6,,0.00%,1,16.67%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,3,,0.00%,1,33.33%,386547358,406,0.44,,C_LOWER_URGENCY,308,"<strong>4 assets (7.3%)</strong> sit in flood zones today. That rises to 16 (29.1%), <strong>more than doubling exposure and adding 12 facilities by 2050</strong>.",,
Elsinboro Township,Salem,6,"1,016",0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,5624464,87,0.67,,B_UNDER_RADAR,242,"<strong>1 assets (33.3%)</strong> sit in flood zones today. That rises to 3 (100%), <strong>more than doubling exposure and putting 100% of the city's public assets at risk by 2050</strong>.",,
Emerson Borough,Bergen,8,"7,413",0,,0.00%,,0.00%,0,,0.00%,,0.00%,5,1,20.00%,1,20.00%,1,,0.00%,,0.00%,7,2,28.57%,2,28.57%,0,,0.00%,,0.00%,4,,0.00%,1,25.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,386547358,406,0.44,,C_LOWER_URGENCY,409,"<strong>3 assets (15.8%)</strong> sit in flood zones today. That rises to 4 (21.1%), <strong>adding 1 facilities by 2050</strong>.",,
Englewood City,Bergen,8,"30,221",0,,0.00%,,0.00%,2,1,50.00%,1,50.00%,31,12,38.71%,23,74.19%,1,,0.00%,,0.00%,16,9,56.25%,10,62.50%,0,,0.00%,,0.00%,14,2,14.29%,5,35.71%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,1,,0.00%,1,100.00%,386547358,406,0.44,,B_UNDER_RADAR,24,"<strong>24 assets (36.4%)</strong> sit in flood zones today. That rises to 41 (62.1%), <strong>pushing over half (62.1%) of the city's public assets into flood risk by 2050</strong>.",,
Englewood Cliffs Borough,Bergen,8,"5,443",0,,0.00%,,0.00%,0,,0.00%,,0.00%,5,,0.00%,,0.00%,0,,0.00%,,0.00%,3,2,66.67%,2,66.67%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,386547358,406,0.44,,C_LOWER_URGENCY,452,"<strong>2 assets (15.4%)</strong> already sit in flood zones, a level that holds through 2050.",,
