MUNCIPALITY,2024_POP
DOWNE TWP,"1,401"
PEMBERTON BORO,"1,392"
BASS RIVER TWP,"1,382"
ELMER BORO,"1,377"
STOW CREEK TWP,"1,342"
SURF CITY BORO,"1,298"
MILFORD BORO,"1,226"
AVALON BORO,"1,216"
PORT REPUBLIC CITY,"1,131"
SHIP BOTTOM BORO,"1,125"
BEACH HAVEN BORO,"1,069"
CALIFON BORO,"1,018"
ELSINBORO TWP,"1,016"
AUDUBON PARK BORO,"1,000"
WEST CAPE MAY BORO,995
BAY HEAD BORO,964
HI-NELLA BORO,938
FAR HILLS BORO,935
DEAL BORO,891
LONGPORT BORO,884
INTERLAKEN BORO,823
BRANCHVILLE BORO,810
BLOOMSBURY BORO,802
ROOSEVELT BORO,802
STONE HARBOR BORO,784
ROCKY HILL BORO,755
WRIGHTSTOWN BORO,731
BARNEGAT LIGHT BORO,641
ANDOVER BORO,610
FIELDSBORO BORO,547
WEST WILDWOOD BORO,536
STOCKTON BORO,499
ALLENHURST BORO,467
MILLSTONE BORO,455
SHILOH BORO,453
ROCKLEIGH BORO,406
HARVEY CEDARS BORO,402
MANTOLOKING BORO,340
CAPE MAY POINT BORO,297
LOCH ARBOUR VILLAGE,227
TETERBORO BORO,71
